Keyword,Song title,Artist,Release date,Page views,Lyrics
Ginobili,Philadelphia 76ers Resignation Letter,Sam Hinkie,2016-04-06,9012,"of their names are hard for many fans to pronounce. Ginobili used to be, too.
The NBA began this season"
Ginobili,Carried Away,Ace Hood,2015-11-03,11116,"put them rocks in the rollie, ballin', I feel like Ginóbili
Order more bottles of Ace, I just might get"
Ginobili,Don’t Wanna Die Today,Dax,2018-06-20,8494,"Fade on a nigga like Kobe
Niggas get left like Ginobili
Nigga was never my homie
No friends, nigga I"
Ginobili,101,Quando Rondo,2020-01-10,8599,"balling hard in my Kobe sneaks
Shoot the rock, no Ginóbili, plug thought it was 103
Got a gutter bitch"
Ginobili,Fuck Bron Bron,Mac Bari,2016-05-30,11991,"be Kobe (Kobe)
And your hair fucked up just like Ginóbili (Ginóbili)
Fuck Bron Bron (fuck him), fuck Bron Bron"
Ginobili,The Man,Roc Marciano,2012-11-13,9747,"four-four is chrome with the long nose
Call it Ginobili, your real nigga show me
I'm from a"
Ginobili,Free Melo,Jay Critch,2016-11-06,7507,"t let my phone breathe
Ima step in Europe like Ginobili
All my niggas like me I ain't doely"
Ginobili,Halloween Mix,Skepta,2015-10-31,11846,"you've got something on your face
I hit that Ginobili with my right hand on my waist
Talking to"
Ginobili,Brand New Money,Lil Twist,2009-04-29,7929,"Ok lil twist I'm kobe but im shooting like ginobili
No one after nor before me I go to"
Ginobili,Another Sauce Song,Aha Gazelle,2017-06-09,7214,"I hang with the OG's
It's me and Ginobili
We grillin with Kobe
I'm still on the"
Ginobili,MMM/A$AP FREESTYLE,Bankroll Marky,2015-04-23,14973,"mixtape drop
You hear me!
Look, bitch I ball like Ginobili, girl the front seat you dropping from the nose"
Ginobili,Poled Up,MaxThaDemon,2018-11-09,8281,"Run up, I swish like I'm Kobe
Me and Ginóbili
Stay on the strip we be balling
TJ gone"
Ginobili,Bando Baby,Sevn Alias,2019-11-22,7972,"B
Maar ik whip nog steeds met die left hand, Ginóbili
Alias Zeven, je nekt me, you know me
Ik"
Ginobili,Brickmile to Montana,Boldy James & The Alchemist,2021-08-13,8172,"a low-key, big Glock .20, it hit like Manu Ginóbili (Doot, doot, doot, doot)
We really them ones, touch"
Ginobili,Lewandowski III,Ernia,2016-06-07,7706,"anonimi
Perché io sto a 'sto genere come al basket Ginobili
Prego, ma su 'ste basi sono un genio
Uno"
Ginobili,Off A 14,Kodak Black,2014-08-21,14595,"i had to roam free
Stop that dick ridin', you dont now me
Young nigga i be balling like Ginobili "
Ginobili,U N I T Y,Sisterhood of Hip Hop,2015-07-17,6830,"from Brooklynn so you know I send 'em shots like Ginobili
I don't play around ain't no pussy"
Ginobili,Don’t Play With Me,Lil Bibby,2016-04-08,21102,"go with me
I whip with the left, I'm Ginobili
K in the trunk like some groceries
He wanna"
Ginobili,Mercedez,Playboi Carti,2015-02-02,8252,"Yeah)
These niggas, they owe me (Yeah)
I ball like Ginóbili (Yeah, swish)
I won't cop no Rollie (Yeah"
Ginobili,EASY,Aries,2021-11-12,7144,"Questions loaded, brought my homies
Take one step back who Ginóbili
Sold my soul, what keep me floating
It's"
Ginobili,Toe Tag,Casey Veggies,2012-04-09,6440,"kill it, Spur of the moment like the playoffs and Ginobili
I'm actually more like Kobe don't pay"
Ginobili,Jumpman (Remix),Skepta,2015-10-31,6334,"cause you got something on your face
I hit that Ginobili with my right hand on my waist
Talkin' to"
Ginobili,NWX vs. EFB,URLtv,2019-08-10,6316,"DNA] He 360
[K] Cuz Webb!
Then Euro-step
[DNA] Ginobili!
WHAT’S UP!? We are NOT PLAYIN’!
I’M"
Ginobili,Weird,BandGang Lonnie Bands,2019-05-03,5990,"strips on me
This an MJ Glock but it got Ginobili (Woah)
Know I'm probably goin' to Hell, chop"
Ginobili,Freestyle [Part #3] du S-Crew dans Planète Rap ! #DestinsLiés,$-Crew,2016-06-15,5616,"Pays Basque
J'immobilise devant la NBA, 3 points de Ginobili
J'pète un [?]
Mes placements dans le 16 prennent"
Ginobili,Fuck Being Humble,Drakeo the Ruler,2016-09-26,19276,"that ain't no Rollie
FN's, got twenty, Manu Ginobili
Her best friend, eat her out while she throat"
Ginobili,Stoner (Freestyle),Shy Glizzy,2014-01-31,5154,"him up, this that
Beast, dope beat, i ball like Ginóbili,(swish), why yall tired of me
Talkin' 'bout fuckin"
Ginobili,Know,Almighty Dae Dae,,12252,"shots just like I'm Kobe, balling on 'em like Ginobili
I swear these motherfuckers phony, chop 'em up like"
Ginobili,Joans Garden,Cochise,2020-04-30,5220,"ain't goin' less (Woah)
Huh, Kobe with the right, Ginóbili with the left (Ginóbili with the left)
I'ma"
Ginobili,Ride,K Money,2017-07-12,NA,"cozy
I was two-handed on your block, fuck a Ginobili
I take off your top off your shoulders
My"
Ginobili,Ferocious,Twista,2013-12-10,5546,"Kobe Wan Kenobi
Left hand and I'm a black Ginóbili
Shootin' 'em until they marry death in holy matrimony"
Ginobili,I Love My Niggas,Mozzy,2016-09-12,5232,"about the shit while I'm (?)
Your team full of Ginobilis
La-di-da emoji
Dome body shit, dome body"
